Event,Medal,Name,Nationality,Result,Height,Weight,Ratio
100M Men,G,Usain BOLT,JAM,9.81,77,205,2.662337662
100M Men,S,Justin GATLIN,USA,9.89,73,183,2.506849315
100M Men,B,Andre DE GRASSE,CAN,9.91,69,154,2.231884058
100M Men,NA,Yohan BLAKE,JAM,9.93,71,176,2.478873239
100M Men,NA,Akani SIMBINE,RSA,9.94,69,163,2.362318841
100M Men,NA,Ben Youssef MEITE,CIV,9.96,71,185,2.605633803
100M Men,NA,Jimmy VICAUT,FRA,10.04,74,183,2.472972973
100M Men,NA,Trayvon BROMELL,USA,10.06,68,157,2.308823529
110M Hurdles Men,G,Omar MCLEOD,JAM,13.05,71,161,2.267605634
110M Hurdles Men,S,Orlando ORTEGA,ESP,13.17,73,154,2.109589041
110M Hurdles Men,B,Dimitri BASCOU,FRA,13.24,72,159,2.208333333
110M Hurdles Men,NA,Pascal MARTINOT-LAGARDE,FRA,13.29,75,176,2.346666667
110M Hurdles Men,NA,Devon ALLEN,USA,13.31,72,187,2.597222222
110M Hurdles Men,NA,Johnathan CABRAL,CAN,13.4,75,185,2.466666667
110M Hurdles Men,NA,Milan TRAJKOVIC,CYP,13.41,74,181,2.445945946
200M Men,G,Usain BOLT,JAM,19.78,77,205,2.662337662
200M Men,S,Andre DE GRASSE,CAN,20.02,69,154,2.231884058
200M Men,B,Christophe LEMAITRE,FRA,20.12,75,163,2.173333333
200M Men,NA,Adam GEMILI,GBR,20.12,71,172,2.422535211
200M Men,NA,Churandy MARTINA,NED,20.13,70,163,2.328571429
200M Men,NA,Lashawn MERRITT,USA,20.19,74,185,2.5
200M Men,NA,Alonso EDWARD,PAN,20.23,71,170,2.394366197
200M Men,NA,Ramil GULIYEV,TUR,20.43,74,176,2.378378378
400M Men,G,Wayde VAN NIEKERK,RSA,43.03,72,154,2.138888889
400M Men,S,Kirani JAMES,GRN,43.76,75,176,2.346666667
400M Men,B,Lashawn MERRITT,USA,43.85,74,185,2.5
400M Men,NA,Machel CEDENIO,TTO,44.01,72,154,2.138888889
400M Men,NA,Karabo SIBANDA,BOT,44.25,69,181,2.623188406
400M Men,NA,Ali Khamis KHAMIS,BRN,44.36,72,154,2.138888889
400M Men,NA,Bralon TAPLIN,GRN,44.45,71,174,2.450704225
400M Men,NA,Matthew HUDSON-SMITH,GBR,44.61,65,172,2.646153846
400M Hurdles Men,G,Kerron CLEMENT,USA,47.73,74,190,2.567567568
400M Hurdles Men,S,Boniface MUCHERU,KEN,47.78,67,150,2.23880597
400M Hurdles Men,B,Yasmani COPELLO,TUR,47.92,75,187,2.493333333
400M Hurdles Men,NA,Thomas BARR,IRL,47.97,72,152,2.111111111
400M Hurdles Men,NA,Annsert WHYTE,JAM,48.07,74,190,2.567567568
400M Hurdles Men,NA,Rasmus MAGI,EST,48.4,74,163,2.202702703
400M Hurdles Men,NA,Haron KOECH,KEN,49.09,75,168,2.24
800M Men,G,David Lekuta RUDISHA,KEN,1:42.15,75,168,2.24
800M Men,S,Taoufik MAKHLOUFI,ALG,1:42.61,69,154,2.231884058
800M Men,B,Clayton MURPHY,USA,1:42.93,71,151,2.126760563
800M Men,NA,Pierre-Ambroise BOSSE,FRA,1:43.41,73,157,2.150684932
800M Men,NA,Ferguson Cheruiyot ROTICH,KEN,1:43.55,73,163,2.232876712
800M Men,NA,Marcin LEWANDOWSKI,POL,1:44.20,70,141,2.014285714
800M Men,NA,Alfred KIPKETER,KEN,1:46.02,66,132,2
800M Men,NA,Boris BERIAN,USA,1:46.15,72,157,2.180555556
1500M Men,G,Matthew CENTROWITZ,USA,3:50.00,69,132,1.913043478
1500M Men,S,Taoufik MAKHLOUFI,ALG,3:50.11,69,154,2.231884058
1500M Men,B,Nicholas WILLIS,NZL,3:50.24,72,150,2.083333333
1500M Men,NA,Ayanleh SOULEIMAN,DJI,3:50.29,72,121,1.680555556
1500M Men,NA,Abdalaati IGUIDER,MAR,3:50.58,68,126,1.852941176
1500M Men,NA,Asbel Kipruto KIPROP,KEN,3:50.87,75,139,1.853333333
1500M Men,NA,David BUSTOS,ESP,3:51.06,71,143,2.014084507
1500M Men,NA,Ben BLANKENSHIP,USA,3:51.09,68,134,1.970588235
3000M Steeplechase Men,G,Conseslus KIPRUTO,KEN,8:03.28,66,128,1.939393939
3000M Steeplechase Men,S,Evan JAGER,USA,8:04.28,74,146,1.972972973
3000M Steeplechase Men,B,Mahiedine MEKHISSI,FRA,8:11.52,75,174,2.32
3000M Steeplechase Men,NA,Soufaine ELBAKKALI,MAR,8:14.35,74,137,1.851351351
3000M Steeplechase Men,NA,Yoann KOWAL,FRA,8:16.75,68,150,2.205882353
3000M Steeplechase Men,NA,Brimin Kiprop KIPRUTO,KEN,8:18.79,69,121,1.753623188
3000M Steeplechase Men,NA,Hillary BOR,USA,8:22.74,66,115,1.742424242
3000M Steeplechase Men,NA,Donald CABRAL,USA,8:25.81,70,148,2.114285714
5000M Men,G,Mohamed FARAH,GBR,13:03.30,69,128,1.855072464
5000M Men,S,Paul Kipkemoi CHELIMO,USA,13:03.90,71,126,1.774647887
5000M Men,B,Hagos GEBRHIWET,ETH,13:04.35,66,143,2.166666667
5000M Men,NA,Mohammed AHMED,CAN,13:05.94,72,132,1.833333333
5000M Men,NA,Bernard LAGAT,USA,13:06.78,68,134,1.970588235
5000M Men,NA,Andrew BUTCHART,GBR,13:08.61,69,141,2.043478261
5000M Men,NA,Albert Kibichii ROP,BRN,13:08.79,70,139,1.985714286
5000M Men,NA,Joshua Kiprui CHEPTEGEI,UGA,13:09.17,66,115,1.742424242
10000M Men,G,Mohamed FARAH,GBR,25:05.17,69,128,1.855072464
10000M Men,S,Paul Kipngetich TANUI,KEN,27:05.64,66,104,1.575757576
10000M Men,B,Tamirat TOLA,ETH,27:06.26,71,130,1.830985915
